wd,ws,freq_val
130,6,0.003579499
130,7,0.003628384
130,8,0.002992874
130,9,0.002368227
130,10,0.001955417
130,11,0.001412245
130,12,0.000847347
130,13,0.000564898
130,14,0.000244427
130,15,0.000152088
130,16,0.000103203
130,17,6.52E-05
130,18,2.17E-05
130,19,5.43E-06
130,20,5.43E-06
130,21,5.43E-06
130,22,0
130,23,5.43E-06
130,24,0
130,25,0
130,26,1.09E-05
130,27,5.43E-06
130,28,0
130,29,0
130,30,0
135,0,0.000114066
135,1,0.000592057
135,2,0.001091774
135,3,0.002085778
135,4,0.002867944
135,5,0.00351975
135,6,0.004035762
135,7,0.004144397
135,8,0.003845652
135,9,0.003351367
135,10,0.002612654
135,11,0.002042324
135,12,0.001260157
135,13,0.000749576
135,14,0.00041281
135,15,0.00015752
135,16,0.000124929
135,17,5.97E-05
135,18,1.63E-05
135,19,1.63E-05
135,20,5.43E-06
135,21,0
135,22,0
135,23,0
135,24,5.43E-06
135,25,0
135,26,0
135,27,0
135,28,0
135,29,0
135,30,0
140,0,0.000103203
140,1,0.000575762
140,2,0.001086343
140,3,0.00199887
140,4,0.002764742
140,5,0.003867379
140,6,0.004513753
140,7,0.004530048
140,8,0.004470299
140,9,0.003992309
140,10,0.003155825
140,11,0.002520315
140,12,0.001781602
140,13,0.001091774
140,14,0.000526876
140,15,0.000385652
140,16,0.000211837
140,17,9.78E-05
140,18,6.52E-05
140,19,3.80E-05
140,20,5.43E-06
140,21,5.43E-06
140,22,0
140,23,0
140,24,0
140,25,0
140,26,0
140,27,0
140,28,5.43E-06
140,29,0
140,30,0
145,0,0.000152088
145,1,0.000521444
145,2,0.001151523
145,3,0.002020597
145,4,0.002482293
145,5,0.003780472
145,6,0.004339938
145,7,0.005040629
145,8,0.004834224
145,9,0.004367097
145,10,0.003921696
145,11,0.002987442
145,12,0.002085778
145,13,0.00152088
145,14,0.001097206
145,15,0.000624647
145,16,0.000336766
145,17,0.000168383
145,18,0.000103203
145,19,5.43E-05
145,20,1.63E-05
145,21,1.09E-05
145,22,0
145,23,0
145,24,0
145,25,0
145,26,0
145,27,0
145,28,0
145,29,0
145,30,0
150,0,5.43E-05
150,1,0.000494286
150,2,0.001032025
150,3,0.002172685
150,4,0.00317212
150,5,0.003823926
150,6,0.004926563
150,7,0.004991744
150,8,0.004937427
150,9,0.004654978
150,10,0.004111806
150,11,0.003400252
150,12,0.002476861
150,13,0.001558901
150,14,0.001227567
150,15,0.000586625
150,16,0.000342198
150,17,0.000217269
150,18,0.000114066
150,19,3.26E-05
150,20,1.09E-05
150,21,1.63E-05
150,22,5.43E-06
150,23,0
150,24,0
150,25,0
150,26,0
150,27,0
150,28,0
150,29,5.43E-06
150,30,0
155,0,0.000152088
155,1,0.000624647
155,2,0.001216704
155,3,0.002074914
155,4,0.00298201
155,5,0.003813062
155,6,0.004508321
155,7,0.004970017
155,8,0.005502325
155,9,0.004736453
155,10,0.004329075
155,11,0.003324208
155,12,0.002476861
155,13,0.001814192
155,14,0.001070047
155,15,0.000516013
155,16,0.000374788
155,17,0.000266154
155,18,0.000206405
