,wd,ws,freq_val
484.0,60.0,16.0,0.00017924651284056836
485.0,60.0,17.0,0.00015208795028896711
486.0,60.0,18.0,0.00013579281275800635
487.0,60.0,19.0,9.233911267544432e-05
488.0,60.0,20.0,9.777082518576456e-05
489.0,60.0,21.0,8.14756876548038e-05
490.0,60.0,22.0,8.14756876548038e-05
491.0,60.0,23.0,6.518055012384304e-05
492.0,60.0,24.0,8.14756876548038e-05
493.0,60.0,25.0,3.802198757224178e-05
494.0,60.0,26.0,3.259027506192152e-05
495.0,60.0,27.0,3.802198757224178e-05
496.0,60.0,28.0,1.629513753096076e-05
497.0,60.0,29.0,5.431712510320254e-06
498.0,60.0,30.0,5.431712510320254e-06
499.0,60.0,31.0,5.431712510320254e-06
500.0,60.0,32.0,0.0
501.0,60.0,33.0,0.0
502.0,60.0,34.0,0.0
503.0,60.0,35.0,0.0
504.0,60.0,36.0,0.0
505.0,60.0,37.0,0.0
506.0,60.0,38.0,0.0
507.0,65.0,0.0,7.06122626341633e-05
508.0,65.0,1.0,0.00027701733802633295
509.0,65.0,2.0,0.0005105809759701038
510.0,65.0,3.0,0.0006681006387693913
511.0,65.0,4.0,0.0008038934515273976
512.0,65.0,5.0,0.0008093251640377178
513.0,65.0,6.0,0.0008582105766306001
514.0,65.0,7.0,0.0008201885890583583
515.0,65.0,8.0,0.0005703298135836266
516.0,65.0,9.0,0.0006789640637900317
517.0,65.0,10.0,0.0004725589883978621
518.0,65.0,11.0,0.0004942858384391431
519.0,65.0,12.0,0.00036935645070177727
520.0,65.0,13.0,0.00019554165037152912
521.0,65.0,14.0,0.00020640507539216964
522.0,65.0,15.0,0.00021183678790248988
523.0,65.0,16.0,0.00015751966279928736
524.0,65.0,17.0,0.00015208795028896711
525.0,65.0,18.0,6.518055012384304e-05
526.0,65.0,19.0,5.974883761352279e-05
527.0,65.0,20.0,5.974883761352279e-05
528.0,65.0,21.0,6.518055012384304e-05
529.0,65.0,22.0,5.431712510320254e-05
530.0,65.0,23.0,3.802198757224178e-05
531.0,65.0,24.0,6.518055012384304e-05
532.0,65.0,25.0,5.431712510320254e-05
533.0,65.0,26.0,4.888541259288228e-05
534.0,65.0,27.0,5.431712510320254e-06
535.0,65.0,28.0,0.0
536.0,65.0,29.0,5.431712510320254e-06
537.0,65.0,30.0,0.0
538.0,65.0,31.0,1.0863425020640507e-05
539.0,65.0,32.0,0.0
540.0,65.0,33.0,0.0
541.0,65.0,34.0,0.0
542.0,65.0,35.0,0.0
543.0,65.0,36.0,0.0
544.0,65.0,37.0,0.0
545.0,65.0,38.0,0.0
546.0,70.0,0.0,0.00011949767522704558
547.0,70.0,1.0,0.00032047103810889496
548.0,70.0,2.0,0.0005214444009907443
549.0,70.0,3.0,0.000662668926259071
550.0,70.0,4.0,0.0007115543388519532
551.0,70.0,5.0,0.0007169860513622735
552.0,70.0,6.0,0.000771303176465476
553.0,70.0,7.0,0.0006898274888106722
554.0,70.0,8.0,0.0005051492634597836
555.0,70.0,9.0,0.0005811932386042671
556.0,70.0,10.0,0.0004942858384391431
557.0,70.0,11.0,0.0003747881632120975
558.0,70.0,12.0,0.000385651588232738
559.0,70.0,13.0,0.0003530613131708165
560.0,70.0,14.0,0.00019554165037152912
561.0,70.0,15.0,0.00019554165037152912
562.0,70.0,16.0,0.0001412245252683266
563.0,70.0,17.0,0.00013579281275800635
564.0,70.0,18.0,5.974883761352279e-05
565.0,70.0,19.0,8.14756876548038e-05
566.0,70.0,20.0,4.888541259288228e-05
567.0,70.0,21.0,7.604397514448356e-05
568.0,70.0,22.0,4.345370008256203e-05
569.0,70.0,23.0,5.974883761352279e-05
570.0,70.0,24.0,3.802198757224178e-05
571.0,70.0,25.0,1.629513753096076e-05
572.0,70.0,26.0,1.0863425020640507e-05
573.0,70.0,27.0,1.629513753096076e-05
574.0,70.0,28.0,5.431712510320254e-06
575.0,70.0,29.0,1.0863425020640507e-05
576.0,70.0,30.0,0.0
577.0,70.0,31.0,0.0
578.0,70.0,32.0,0.0
579.0,70.0,33.0,0.0
580.0,70.0,34.0,0.0
581.0,70.0,35.0,0.0
582.0,70.0,36.0,0.0
583.0,70.0,37.0,0.0
584.0,70.0,38.0,0.0
585.0,75.0,0.0,0.00010863425020640508
586.0,75.0,1.0,0.000298744188067614
587.0,75.0,2.0,0.0004182418632946595
588.0,75.0,3.0,0.000597488376135228
589.0,75.0,4.0,0.000727849476382914
590.0,75.0,5.0,0.000771303176465476
591.0,75.0,6.0,0.0007224177638725938
592.0,75.0,7.0,0.0006463737887281102
593.0,75.0,8.0,0.0006029200886455482
594.0,75.0,9.0,0.0005540346760526659
595.0,75.0,10.0,0.00042367357580497977
596.0,75.0,11.0,0.0002824490505366532
597.0,75.0,12.0,0.00030960761308825447
598.0,75.0,13.0,0.000298744188067614
599.0,75.0,14.0,0.00023899535045409116
600.0,75.0,15.0,9.777082518576456e-05
601.0,75.0,16.0,0.00013036110024768608
602.0,75.0,17.0,5.974883761352279e-05
603.0,75.0,18.0,8.14756876548038e-05
604.0,75.0,19.0,2.715856255160127e-05
605.0,75.0,20.0,8.690740016512406e-05
606.0,75.0,21.0,5.431712510320254e-05
607.0,75.0,22.0,4.345370008256203e-05
608.0,75.0,23.0,5.431712510320254e-05
609.0,75.0,24.0,4.345370008256203e-05
610.0,75.0,25.0,5.431712510320254e-06
611.0,75.0,26.0,5.431712510320254e-06
612.0,75.0,27.0,1.0863425020640507e-05
613.0,75.0,28.0,2.715856255160127e-05
614.0,75.0,29.0,2.1726850041281015e-05
615.0,75.0,30.0,2.1726850041281015e-05
616.0,75.0,31.0,1.0863425020640507e-05
617.0,75.0,32.0,0.0
618.0,75.0,33.0,0.0
619.0,75.0,34.0,0.0
620.0,75.0,35.0,0.0
621.0,75.0,36.0,0.0
622.0,75.0,37.0,0.0
623.0,75.0,38.0,0.0
624.0,80.0,0.0,7.604397514448356e-05
625.0,80.0,1.0,0.00023356363794377092
626.0,80.0,2.0,0.0005160126884804241
627.0,80.0,3.0,0.0005811932386042671
628.0,80.0,4.0,0.000597488376135228
629.0,80.0,5.0,0.000727849476382914
630.0,80.0,6.0,0.0006681006387693913
631.0,80.0,7.0,0.0006029200886455482
632.0,80.0,8.0,0.0005486029635423457
633.0,80.0,9.0,0.0005160126884804241
634.0,80.0,10.0,0.0003530613131708165
635.0,80.0,11.0,0.00038021987572241776
636.0,80.0,12.0,0.0002227002129231304
637.0,80.0,13.0,0.00023356363794377092
638.0,80.0,14.0,0.0001629513753096076
639.0,80.0,15.0,0.00015208795028896711
640.0,80.0,16.0,0.00014665623777864684
641.0,80.0,17.0,7.604397514448356e-05
642.0,80.0,18.0,0.00010863425020640508
643.0,80.0,19.0,0.00011949767522704558
644.0,80.0,20.0,8.690740016512406e-05
645.0,80.0,21.0,6.518055012384304e-05
646.0,80.0,22.0,4.888541259288228e-05
647.0,80.0,23.0,3.802198757224178e-05
648.0,80.0,24.0,4.888541259288228e-05
649.0,80.0,25.0,5.431712510320254e-06
650.0,80.0,26.0,2.1726850041281015e-05
651.0,80.0,27.0,5.431712510320254e-06
652.0,80.0,28.0,1.0863425020640507e-05
